X,SubjID,Site,Task,Congruency,RT,Acc
11247,p64,ffa,object,cong,906.8282504,0
9908,p59,lo,object,incong,737.1025828,0
13723,p72,lo,object,cong,634.5863569,0
4440,P16,ffa,face,incong,528.5841476,1
4874,P17,lo,face,cong,1011.242052,0
12645,p68,lo,object,cong,1124.305491,0
5755,P20,ffa,face,cong,882.6554512,1
4104,P15,ffa,face,cong,731.4092984,0
13762,p73,ffa,object,incong,918.9980308,1
13461,p72,ffa,object,cong,989.9528318,0
2680,P09,lo,face,cong,489.8796723,0
11769,p65,lo,object,cong,1254.729841,0
9259,p57,lo,object,cong,827.1236079,0
7941,p53,ffa,object,cong,1223.897121,1
7821,p53,ffa,object,cong,983.585836,0
6330,P22,ffa,face,cong,1046.056245,0
5614,P19,lo,face,incong,847.3143399,0
1826,P06,lo,face,cong,420.9338131,0
12754,p68,lo,object,incong,899.984504,0
1782,P06,lo,face,cong,573.3415777,0
11975,p66,ffa,object,incong,837.31876,0
13761,p73,ffa,object,cong,1071.3462,1
138,P01,ffa,face,incong,1274.654365,0
13280,p70,lo,object,cong,923.460884,1
9214,p57,lo,object,cong,829.7378705,0
4542,P16,lo,face,cong,897.3686301,0
2994,P10,lo,face,cong,979.1606061,0
7552,p52,ffa,object,cong,982.4290644,0
8066,p53,lo,object,cong,1065.256638,1
13562,p72,ffa,object,cong,1260.123,1
4052,P14,lo,face,cong,984.4709175,0
4769,P17,ffa,face,cong,649.6661246,1
6736,P23,lo,face,incong,949.9038583,0
9061,p57,ffa,object,cong,1016.277434,0
6060,P21,ffa,face,cong,660.7278512,1
3221,P12,ffa,face,cong,602.0839364,0
1206,P04,lo,face,incong,742.6932689,0
3190,P12,ffa,face,cong,842.9481308,0
11249,p64,ffa,object,cong,416.635207,0
9466,p58,ffa,object,cong,458.6848488,0
14117,p74,ffa,object,incong,406.8289377,0
8206,p54,ffa,object,cong,590.1985202,0
7139,P24,lo,face,cong,878.4520853,0
4009,P14,lo,face,cong,420.8811849,1
12575,p68,ffa,object,cong,1243.449005,1
6920,P24,ffa,face,cong,1152.059744,1
11729,p65,lo,object,cong,1016.551647,1
5467,P19,lo,face,cong,1269.886582,0
2984,P10,lo,face,cong,1053.657148,0
9125,p57,ffa,object,incong,574.1541972,0
9664,p58,lo,object,cong,565.0485842,1
6237,P21,lo,face,cong,747.3565576,1
11917,p66,ffa,object,cong,608.2007399,0
4815,P17,ffa,face,incong,489.7247775,0
1687,P06,ffa,face,cong,529.8249904,1
1846,P06,lo,face,incong,973.6139515,1
8793,p56,ffa,object,incong,780.493064,1
7027,P24,lo,face,cong,1190.96259,1
11693,p65,ffa,object,cong,983.4016886,1
8594,p55,lo,object,cong,590.574192,0
7239,p51,ffa,object,incong,1286.861189,1
12367,p67,lo,object,cong,1150.108275,1
4857,P17,lo,face,cong,845.5565615,1
13663,p72,lo,object,cong,406.421556,0
5592,P19,lo,face,cong,403.4993601,1
8447,p55,ffa,object,cong,1105.696301,1
5622,P20,ffa,face,cong,1104.398805,1
1799,P06,lo,face,cong,569.1377591,1
10710,p62,ffa,object,cong,1007.259268,0
1491,P05,lo,face,cong,866.7193195,1
9323,p57,lo,object,incong,740.3832501,1
5812,P20,lo,face,cong,711.9654776,0
11536,p64,lo,object,cong,1079.154643,1
